_id,Operating Name,Category,Issued,Licence Address Line 1,city_std,latitude,longitude
1,TAXIFY,PRIVATE TRANSPORTATION COMPANY,2018-01-18,"35 OAK ST, #304",TORONTO,,
2,INSTARYDE,PRIVATE TRANSPORTATION COMPANY,2017-09-08,425 ALNESS ST,TORONTO,,
3,DRIVEHER TRANSPORTATION,PRIVATE TRANSPORTATION COMPANY,2018-03-08,"100 DUNDAS ST E, #502",MISSISSAUGA,,
4,RIDEIN,PRIVATE TRANSPORTATION COMPANY,2017-05-18,379 BERING AVE,TORONTO,43.63683415813302,-79.5326887969218
5,CAPPTIN,PRIVATE TRANSPORTATION COMPANY,2020-07-21,"4950 YONGE ST, #2200",TORONTO,,
6,CLOUDAMART,PRIVATE TRANSPORTATION COMPANY,2021-08-30,904 AVENUE RD,TORONTO,,
7,FACEDRIVE,PRIVATE TRANSPORTATION COMPANY,2017-04-04,"44 EAST BEAVER CREEK RD, #16",RICHMOND HILL,,
8,WILMA,PRIVATE TRANSPORTATION COMPANY,2022-06-30,1402 RESTIVO LANE,MILTON,,
9,EGO,PRIVATE TRANSPORTATION COMPANY,2019-07-26,"399 ADELAIDE ST W, #415",TORONTO,,
10,UBER CANADA,PRIVATE TRANSPORTATION COMPANY,2016-08-16,"121 BLOOR ST E, #1600",TORONTO,,
11,LYFT CANADA,PRIVATE TRANSPORTATION COMPANY,2017-12-01,"199 BAY ST, #4000",TORONTO,,
12,M-RIDES,PRIVATE TRANSPORTATION COMPANY,2021-11-03,"100 DYNAMIC DR, #104",TORONTO,,
13,HOVR,PRIVATE TRANSPORTATION COMPANY,2024-05-03,"21 ST CLAIR AVE E, #1000",TORONTO,,
14,HOPP,PRIVATE TRANSPORTATION COMPANY,2024-09-20,"1050 KING ST W, #03A105",TORONTO,,
15,MOBILE AMBASSADORS,TAXICAB BROKER,2002-11-15,"50 DANFORTH RD, #1",TORONTO,,
16,AMEN DISCOUNT TAXI,TAXICAB BROKER,2004-06-04,"1750 BRIMLEY RD, #225",TORONTO,,
17,TRILLIUM CORPORATE TAXI SERVICES,TAXICAB BROKER,2002-02-27,"375 DANFORTH RD, #1",TORONTO,,
18,5 STAR TAXI,TAXICAB BROKER,2003-11-19,"2753 EGLINTON AVE E, #206",TORONTO,,
19,SUNRISE TAXI,TAXICAB BROKER,2004-04-06,"100 MCLEVIN AVE, #209",TORONTO,,
20,A-1 TORONTO TAXI,TAXICAB BROKER,2003-10-01,"750 OAKDALE RD, #52",TORONTO,,
21,EMERALD CORPORATE TAXI SERVICES,TAXICAB BROKER,2002-02-27,"375 DANFORTH RD, #1",TORONTO,,
22,,TAXICAB BROKER,2002-05-06,"280 MIDWEST RD, B",TORONTO,,
23,,TAXICAB BROKER,2002-05-06,"280 MIDWEST RD, B",TORONTO,,
24,TAXI LUXURY RIDE,TAXICAB BROKER,2005-03-09,"1750 BRIMLEY RD, #223",TORONTO,,
25,WHEELCHAIR TAXI OF ONTARIO,TAXICAB BROKER,2005-02-21,"761 JANE ST, #218",TORONTO,,
26,WIM TAXI,TAXICAB BROKER,2005-11-09,2946 DUNDAS ST W,TORONTO,43.66544431778643,-79.46776169174701
27,DIPLOMAT TAXI,TAXICAB BROKER,2003-03-26,"19 TABER RD, FL2",TORONTO,,
28,TORONTO AMBASSADORS TAXI SERVICES(TATS),TAXICAB BROKER,2004-06-08,"101 SHERBOURNE ST, #202",TORONTO,,
29,YELLOW CAB,TAXICAB BROKER,2005-07-13,32 CAMDEN ST,TORONTO,43.647056028102675,-79.39741109404679
30,METRO CAB,TAXICAB BROKER,1999-03-23,32 CAMDEN ST,TORONTO,43.647056028102675,-79.39741109404679
31,METRO CAB,TAXICAB BROKER,1999-03-23,32 CAMDEN ST,TORONTO,43.647056028102675,-79.39741109404679
32,,TAXICAB BROKER,2001-10-01,1 CREDIT UNION DR,TORONTO,,
33,BLOOMINGDALE TAXI,TAXICAB BROKER,2003-03-20,379 BERING AVE,TORONTO,43.63683415813302,-79.5326887969218
34,ARROW/SUNNYSIDE,TAXICAB BROKER,2000-05-12,82 NORTH QUEEN ST,TORONTO,,
35,ACT AMBASSADOR TAXI,TAXICAB BROKER,2002-04-09,"105 SHERBOURNE ST, A FL2",TORONTO,,
36,CELEBRITY TAXI,TAXICAB BROKER,2005-05-02,"50 MCINTOSH DR, #110",MARKHAM,,
37,PREMIER TAXI SERVICES,TAXICAB BROKER,2008-04-25,"1266 MARTIN GROVE RD, #4-2NDFLOOR",TORONTO,,
38,CROWN TAXI,TAXICAB BROKER,1999-08-18,"789 WARDEN AVE, #6",TORONTO,,
39,BEE LINE TAXI,TAXICAB BROKER,1999-05-04,2933 KENNEDY RD,TORONTO,,
40,OLYMPIC TAXI,TAXICAB BROKER,2004-07-09,"789 WARDEN AVE, #6",TORONTO,,
41,ABC TAXI,TAXICAB BROKER,2005-01-20,"2418 EGLINTON AVE E, #1",TORONTO,,
42,BLOOMINGDALE TAXI,TAXICAB BROKER,2008-07-15,379 BERING AVE,TORONTO,43.63683415813302,-79.5326887969218
43,AMBASSADOR TAXI,TAXICAB BROKER,2005-05-02,"50 MCINTOSH DR, #110",MARKHAM,,
44,ARROW CAB,TAXICAB BROKER,2007-10-18,1 CREDIT UNION DR,TORONTO,,
45,EAST END TAXI,TAXICAB BROKER,1999-01-04,1436 KINGSTON RD,TORONTO,,
46,PREMIER TAXI SERVICES,TAXICAB BROKER,2009-04-21,"122 LAIRD DR, #203",TORONTO,,
47,MOTION TAXI CO-OPERATIVE,TAXICAB BROKER,2004-09-20,"799A BRIMLEY RD, #102",TORONTO,,
48,ABC TAXI,TAXICAB BROKER,2009-10-13,"2163 LAWRENCE AVE E, B",TORONTO,,
49,TORONTO PARA TRANSIT,TAXICAB BROKER,2001-02-06,"2727 STEELES AVE W, #303",TORONTO,,
50,A-1 GTA CAB,TAXICAB BROKER,2010-03-04,17228 HWY 50,,,
51,EAST END TAXI 2010,TAXICAB BROKER,2010-03-22,1436 KINGSTON RD,TORONTO,,
52,IMPERIAL TAXI,TAXICAB BROKER,2005-01-20,"40 WYNFORD DR, #213",TORONTO,,
53,AAA BEST CHOICE TAXI,TAXICAB BROKER,2005-08-26,"557 DIXON RD, #111",TORONTO,,
54,ASTRO TAXI,TAXICAB BROKER,2009-09-04,"2781 HIGHWAY 7, #205",,,
55,MAPLE LEAF TAXICABS,TAXICAB BROKER,1976-06-02,"1245 DANFORTH AVE, #203N",TORONTO,,
56,MAPLE LEAF TAXI-CAB,TAXICAB BROKER,2013-01-14,"1245 DANFORTH AVE, #203N",TORONTO,,
57,IMPERIAL TAXI,TAXICAB BROKER,2012-05-09,"40 WYNFORD DR, #213",TORONTO,,
58,HAILO NETWORK CANADA,TAXICAB BROKER,2012-08-30,"119 SPADINA AVE, #304",TORONTO,,
59,CROWN TAXI,TAXICAB BROKER,2009-09-04,"789 WARDEN AVE, #6",TORONTO,,
60,ZOOM CAB,TAXICAB BROKER,2012-09-21,"1 DUNDAS ST W, #2500",TORONTO,,
61,GOTAXIGO,TAXICAB BROKER,2012-10-19,206 RIVER ST,TORONTO,,
62,PREMIER TAXI SERVICES INC,TAXICAB BROKER,2011-02-01,"122 LAIRD DR, #203",TORONTO,,
63,ABLE ATLANTIC TAXI (1992) LTD,TAXICAB BROKER,1994-11-02,2933 KENNEDY RD,TORONTO,,
64,KINGSBORO/REXDALE,TAXICAB BROKER,1991-12-24,"4174 DUNDAS ST W, #320",TORONTO,,
65,ON-TIME TAXI,TAXICAB BROKER,2005-01-19,"1941 WESTON RD, #206",TORONTO,,
66,CHECKER TAXI,TAXICAB BROKER,2013-05-31,"2727 STEELES AVE W, #303",TORONTO,,
67,UNICABS,TAXICAB BROKER,2013-03-21,1943 JANS BLVD,,,
68,ETOBICOKE TAXI,TAXICAB BROKER,2009-03-27,"4891 DUNDAS ST W, #1-A",TORONTO,,
69,GTA TAXI SERVICES,TAXICAB BROKER,2012-08-16,"1110 FINCH AVE W, #1",TORONTO,,
70,ZULU CAB,TAXICAB BROKER,2013-09-26,10699 PINE VALLEY DR RR2,,,
71,UNICABS,TAXICAB BROKER,2013-12-11,142 OAKDALE RD,TORONTO,,
72,MEGA TAXI & TRANSPORTATION,TAXICAB BROKER,2014-01-14,"3300 MCNICOLL AVE, A5",TORONTO,,
