_id,ID,SCH_NAME,ADDRESS,CITY,POSTAL_CODE,MET_PANEL_ID,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,MUNICIPALITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,OBJECTID,geometry
1,1,Thorncliffe Park Public School,80 Thorncliffe Park Drive,East York,M4H 1K3,E,3829444,80,Thorncliffe Park Dr,80 Thorncliffe Park Dr,East York,Thorncliffe Park Public School,115001,3829449,80,None,,None,354,1,"{""coordinates"": [[-79.3434367551101, 43.7053900432282]], ""type"": ""MultiPoint""}"
2,2,Highfield Junior School,85 Mount Olive Drive,Etobicoke,M9V 2C9,E,1020028,85,Mount Olive Dr,85 Mount Olive Dr,Etobicoke,Highfield Public School,115001,906730,85,None,,None,2145,2,"{""coordinates"": [[-79.5891451714213, 43.7458920486043]], ""type"": ""MultiPoint""}"
3,3,Victoria Village Public School,88 Sweeney Drive,North York,M4A 1T7,E,566907,88,Sweeney Dr,88 Sweeney Dr,North York,Victoria Village Public School,115001,442884,88,None,,None,6834,3,"{""coordinates"": [[-79.3141820772089, 43.7359594203073]], ""type"": ""MultiPoint""}"
4,4,Grenoble Public School,9 Grenoble Drive,North York,M3C 1C3,E,523752,9,Grenoble Dr,9 Grenoble Dr,North York,Grenoble Public School,115001,30093281,9,None,,None,5756,4,"{""coordinates"": [[-79.3327597513647, 43.7154310882437]], ""type"": ""MultiPoint""}"
5,5,Manhattan Park Junior Public School,90 Manhattan Drive,Scarborough,M1R 3V8,E,359023,90,Manhattan Dr,90 Manhattan Dr,Scarborough,Manhattan Park,115001,109829,90,None,,None,8407,5,"{""coordinates"": [[-79.2953011186665, 43.7533540031688]], ""type"": ""MultiPoint""}"
6,6,Brian Public School,95 Brian Drive,North York,M2J 3Y6,E,11467213,95,Brian Dr,95 Brian Dr,North York,Brian Public School,115001,11467035,95,None,,None,5028,6,"{""coordinates"": [[-79.331933544035, 43.7824531904325]], ""type"": ""MultiPoint""}"
7,7,North Preparatory Junior Public School,1100 Spadina Road,Toronto,M5N 2M6,E,870542,1100,Spadina Rd,1100 Spadina Rd,former Toronto,North Preparatory Public School,115001,1138559,1100,None,,None,4428,7,"{""coordinates"": [[-79.4203748853603, 43.7057655831012]], ""type"": ""MultiPoint""}"
8,8,Kingsview Village Junior School,1 York Road,Etobicoke,M9R 3C8,E,1045581,1,York Rd,1 York Rd,Etobicoke,Kingsview Village Public School,115001,908522,1,None,,None,2832,8,"{""coordinates"": [[-79.5507891278971, 43.6978666584909]], ""type"": ""MultiPoint""}"
9,9,Bliss Carman Senior Public School,10 Bellamy Road South,Scarborough,M1M 3N8,E,306063,10,Bellamy Rd S,10 Bellamy Rd S,Scarborough,Bliss Carman Senior Public School,115001,14245815,10,None,,None,7314,9,"{""coordinates"": [[-79.2256018786147, 43.732648962951]], ""type"": ""MultiPoint""}"
10,10,Flemington Public School,10 Flemington Road,North York,M6A 2N4,E,7062866,10,Flemington Rd,10 Flemington Rd,North York,Flemington Public School,115001,7062864,10,None,,None,5608,10,"{""coordinates"": [[-79.4444540037633, 43.7200875786734]], ""type"": ""MultiPoint""}"
11,11,Bloordale Middle School,10 Toledo Road,Etobicoke,M9C 2H3,E,8432037,10,Toledo Rd,10 Toledo Rd,Etobicoke,Bloordale Middle Public School,115001,30009321,10,None,,None,2640,11,"{""coordinates"": [[-79.5719465300651, 43.6391456489153]], ""type"": ""MultiPoint""}"
12,12,Courcelette Public School,100 Fallingbrook Road,Scarborough,M1N 2T6,E,333309,100,Fallingbrook Rd,100 Fallingbrook Rd,Scarborough,Courcelette Public School,115001,113247,100,None,,None,7874,12,"{""coordinates"": [[-79.2785659239745, 43.6793188262702]], ""type"": ""MultiPoint""}"
13,13,Derrydown Public School,120 Derrydown Road,North York,M3J 1R7,E,507241,120,Derrydown Rd,120 Derrydown Rd,North York,Derrydown Public School,115001,440361,120,None,,None,5376,13,"{""coordinates"": [[-79.4937101803973, 43.7586899266831]], ""type"": ""MultiPoint""}"
14,14,Maplewood High School,120 Galloway Road,West Hill,M1E 1W7,S,336715,120,Galloway Rd,120 Galloway Rd,Scarborough,Maplewood High School,115001,109225,120,None,,None,7948,14,"{""coordinates"": [[-79.1948946345862, 43.7588978527975]], ""type"": ""MultiPoint""}"
15,15,George B Little Public School,125 Orton Park Road,Scarborough,M1G 3G9,E,369629,125,Orton Park Rd,125 Orton Park Rd,Scarborough,George B Little Junior Public School,115001,108136,125,None,,None,8622,15,"{""coordinates"": [[-79.2081104450894, 43.7711994113319]], ""type"": ""MultiPoint""}"
16,16,John G Althouse Middle School,130 Lloyd Manor Road,Etobicoke,M9B 5K1,E,10512731,130,Lloyd Manor Rd,130 Lloyd Manor Rd,Etobicoke,John G. Althouse Middle School,115001,10512725,130,None,,None,2008,16,"{""coordinates"": [[-79.5540087673011, 43.6683053235247]], ""type"": ""MultiPoint""}"
17,17,Warren Park Junior Public School,135 Varsity Road,York,M6S 4P4,E,10663463,135,Varsity Rd,135 Varsity Rd,York,Warren Park Junior Public School,115001,10663461,135,None,,None,929,17,"{""coordinates"": [[-79.4994375141874, 43.6628427653687]], ""type"": ""MultiPoint""}"
18,18,Humbercrest Public School,14 Saint Marks Road,York,M6S 2H7,E,74152,14,St Mark's Rd,14 St Mark's Rd,York,Humbercrest Public School,115001,9485,14,None,,None,894,18,"{""coordinates"": [[-79.4910553735324, 43.6604526501243]], ""type"": ""MultiPoint""}"
19,19,Cliffwood Public School,140 Cliffwood Road,North York,M2H 2E4,E,8649130,140,Cliffwood Rd,140 Cliffwood Rd,North York,Cliffwood Public School,115001,30006220,140,None,,None,5225,19,"{""coordinates"": [[-79.360068599198, 43.8062920920724]], ""type"": ""MultiPoint""}"
